AREAKEY,TRCTPOP9,MDFAMY9,MDVALHS9,TRCTPOP0,MDFAMY0,MDVALHS0,TRCTPOP1,MDFAMY1A,MDVALHS1A
36047008200,3666,19040,138500,4072,30000,189700,4141,44327,790100
36047008400,2573,20068,185900,3229,29957,256300,3299,23825,624300
36047008500,8149,10169,0,7278,13575,0,6956,18654,0
36047008600,0,0,0,0,0,0,0,0,0
36047008800,2183,26500,204200,2688,25727,112500,3207,34572,276300
36047009000,2764,26184,146714,3174,27546,106908,2994,29375,372500
36047009200,4190,20417,275000,5241,29419,208300,5388,39219,604200
36047009400,4010,32530,320000,4855,31509,250800,5805,38610,675400
36047009600,5113,31618,252500,5900,30773,230400,6126,50197,593300
36047009800,4996,23661,169300,6121,25841,225000,7024,35169,646700
36047010000,4930,22698,220800,6271,31638,246200,6737,36406,647800
36047010100,3252,25536,156700,4095,34219,174300,4093,58182,572600
36047010200,3685,39743,143100,4616,28802,221600,5622,38151,611300
36047010400,4606,28597,225000,5530,24228,262000,5908,25469,671700
36047010600,4151,29712,148400,5460,27948,203300,5851,27413,612000
36047010800,3982,30205,177100,4803,28188,215300,5280,32487,615700
36047011000,1715,33304,350000,1987,30179,193200,2441,43438,581800
36047011200,5791,18671,268800,6242,21667,284800,6436,28735,339500
36047011400,4293,29620,245800,4116,37750,350000,3976,45787,917300
36047011600,3075,25967,225000,4259,29321,237500,4816,32128,747200
36047011700,2299,31771,141100,2874,33233,173300,2364,63869,821400
36047011800,1450,28750,221100,1923,24943,169200,2253,33631,656300
36047011900,1229,23498,241428,1453,28569,211812,1530,58388,382600
36047012000,1025,20500,168800,1417,31484,17500,1268,25833,497500
36047012100,1566,28333,116100,1715,35875,183800,1619,73542,654100
36047012200,4149,30205,225000,5131,31483,284700,5339,34795,629900
36047012600,2071,28268,200883,2407,33217,219714,2652,27361,628300
36047012700,3002,16307,225000,3405,19675,257500,3507,29821,653100
